Taluka,lx,ly,ux,uy
Akole,73.6,19.2,74.1,19.8
Jamkhed,75.2,18.5,75.6,18.8
Karjat,74.7,18.3,75.2,18.8
Kopargaon,74.2,19.7,74.7,20.0
Nagar,74.5,18.8,75.0,19.3
Nevasa,74.8,19.3,75.2,19.7
Parner,74.2,18.8,74.6,19.4
Pathardi,74.9,19.0,75.5,19.3
Rahata,74.6,19.6,74.6,19.6
Rahuri,74.6,19.5,74.6,19.5
Sangamner,74.4,19.6,74.4,19.6
Shevgaon,75.0,19.2,75.5,19.6
Shrigonda,74.4,18.4,74.9,18.9
Shrirampur,74.5,19.5,74.8,19.8
Akola,76.9,20.5,77.3,20.9
Akot,76.9,20.8,77.2,21.2
Balapur,76.7,20.5,77.0,20.9
Barshitakli,77.0,20.4,77.4,20.7
Murtijapur,77.2,20.6,77.6,20.9
Patur,76.7,20.3,77.0,20.6
Telhara,77.0,20.9,77.0,20.9
Amravati,77.7,20.8,78.0,21.2
Anjangaon Surji,77.4,21.0,77.4,21.0
Bhatkuli,77.5,20.8,77.7,21.2
Chandur Bazar,77.8,21.2,77.8,21.2
Chandur Railway,77.9,20.6,78.1,20.9
Chikhaldara,76.8,21.2,77.6,21.8
Daryapur,77.4,21.0,77.4,21.0
Dhamangaon Railway,78.0,20.6,78.3,20.9
Dharni,76.6,21.2,77.2,21.7
Morshi,77.8,21.3,77.8,21.3
Nandgaon Khandeshwar,77.6,20.5,78.0,20.9
Teosa,77.9,20.9,78.2,21.2
Warud,78.1,21.3,78.4,21.6
Achalpur,77.6,21.2,77.6,21.2
Fulambari,75.3,20.0,75.6,20.3
Gangapur,75.3,19.8,75.3,19.8
Kannad,74.9,20.0,75.5,20.5
Khuldabad,75.1,20.0,75.4,20.2
Paithan,75.2,19.8,75.3,19.8
Sillod,75.4,20.1,75.9,20.6
Aurangabad,75.2,19.7,75.7,20.0
Vaijapur,75.0,20.1,75.0,20.1
Soygaon,75.9,20.5,76.0,20.6
Ambejogai,76.6,18.8,76.6,18.8
Ashti,74.8,18.6,75.3,19.1
Beed,75.6,18.6,76.0,19.1
Dharur,76.3,18.9,76.4,19.0
Georai,75.4,19.1,76.0,19.4
Kaij,75.8,18.6,76.3,18.9
Majalgaon,76.4,19.1,76.4,19.1
Parli,76.3,18.7,76.7,19.1
Patoda,75.2,18.7,75.6,19.0
Shirur-Kasar,75.3,18.9,75.6,19.2
Wadwani,75.9,18.9,76.3,19.1
Bhandara,79.5,21.0,79.8,21.3
Lakhandur,79.7,20.7,80.0,20.9
Lakhni,79.8,20.9,80.0,21.2
Mohadi,79.5,21.2,79.9,21.4
Pauni,79.5,20.6,79.8,21.0
Sakoli,79.8,20.9,80.1,21.3
Tumsar,79.4,21.3,79.9,21.6
Buldana,75.9,20.3,76.4,20.6
Chikli,76.1,20.1,76.6,20.6
Deulgaon-Raja,76.0,19.9,76.3,20.2
Jalgaon-Jamod,76.3,20.9,76.6,21.2
Khamgaon,76.3,20.4,76.8,20.8
Lonar,76.3,19.8,76.7,20.1
Malkapur,76.1,20.7,76.3,21.0
Mehkar,76.4,20.1,76.8,20.5
Motala,76.0,20.5,76.4,20.8
